source,source_url,title,project_slug,project_name,property_type,purpose,price_total_vnd,price_per_m2_vnd,area_m2,bedrooms,total_floors,subdivision,view,observed_at
market_vinhomes,https://market.vinhomes.vn/so-cap/vx1-21-biet-thu-song-lap-khu-vinh-xanh-vinhomes-ocean-park-3-2,"VX1-21, Biệt thự song lập",vinhomes-ocean-park-3,Vinhomes Ocean Park 3,villa,sale,13590000000.0,70530000.0,126.0,4,4,Vịnh Xanh,,2026-06-22T07:34:57.435177+00:00
market_vinhomes,https://market.vinhomes.vn/so-cap/vx1-23-biet-thu-song-lap-khu-vinh-xanh-vinhomes-ocean-park-3-2,"VX1-23, Biệt thự song lập",vinhomes-ocean-park-3,Vinhomes Ocean Park 3,villa,sale,13590000000.0,70530000.0,126.0,4,4,Vịnh Xanh,,2026-06-22T07:34:58.843376+00:00
market_vinhomes,https://market.vinhomes.vn/so-cap/vx3-59-lien-ke-khu-vinh-xanh-vinhomes-ocean-park-3,"VX3-59, Liền kề",vinhomes-ocean-park-3,Vinhomes Ocean Park 3,townhouse,sale,12920000000.0,39460000.0,90.0,4,4,Vịnh Xanh,,2026-06-22T07:35:00.163499+00:00
market_vinhomes,https://market.vinhomes.vn/so-cap/vx3-61-lien-ke-khu-vinh-xanh-vinhomes-ocean-park-3,"VX3-61, Liền kề",vinhomes-ocean-park-3,Vinhomes Ocean Park 3,townhouse,sale,12920000000.0,39460000.0,90.0,4,4,Vịnh Xanh,,2026-06-22T07:35:01.515173+00:00
market_vinhomes,https://market.vinhomes.vn/so-cap/vx3-99-lien-ke-khu-vinh-xanh-vinhomes-ocean-park-3,"VX3-99, Liền kề",vinhomes-ocean-park-3,Vinhomes Ocean Park 3,townhouse,sale,12930000000.0,39370000.0,90.0,4,4,Vịnh Xanh,,2026-06-22T07:35:02.818602+00:00
market_vinhomes,https://market.vinhomes.vn/thu-cap/saun2587-2-pn-toa-gh5-khu-glory-heights-vinhomes-grand-park,"2 PN, Tòa GH5, khu Glory Heights",vinhomes-grand-park,Vinhomes Grand Park,apartment,sale,2940000000.0,80810000.0,58.9,2,5,Glory Heights,,2026-06-22T07:35:04.066570+00:00
market_vinhomes,https://market.vinhomes.vn/thu-cap/saun2594-1-pn-1-toa-gh2-khu-glory-heights-vinhomes-grand-park,"1 PN + 1, Tòa GH2, khu Glory Heights",vinhomes-grand-park,Vinhomes Grand Park,apartment,sale,2410000000.0,68760000.0,46.5,1,5,Glory Heights,,2026-06-22T07:35:05.344071+00:00
market_vinhomes,https://market.vinhomes.vn/thu-cap/ssap1055-3-pn-toa-s6-06-khu-the-origami-vinhomes-grand-park,"3 PN, Tòa S6.06, khu The Origami",vinhomes-grand-park,Vinhomes Grand Park,apartment,sale,3150000000.0,66840000.0,81.2,3,5,The Origami,,2026-06-22T07:35:06.631490+00:00
